Open,High,Low,Close,Datetime
503.8,526.4,502.6,526.4,24.00-8.00-13.00 14.00:5.00
493.65,501.75,473.5,499.8,24.00-8.00-13.00 14.00:0.00
475,493.7,473.35,489.6,24.00-8.00-13.00 13.00:55.00
458.05,480,457.95,475.3,24.00-8.00-13.00 13.00:50.00
456.15,467.7,444.1,457.5,24.00-8.00-13.00 13.00:45.00
412.55,455.05,412.55,455.05,24.00-8.00-13.00 13.00:40.00
408.75,422.1,408.75,415.45,24.00-8.00-13.00 13.00:35.00
409.2,409.95,403.75,409.95,24.00-8.00-13.00 13.00:30.00
407.35,412.45,406.8,412.45,24.00-8.00-13.00 13.00:25.00
409.4,418.5,408.4,409.85,24.00-8.00-13.00 13.00:20.00
422.25,422.25,403.1,406.95,24.00-8.00-13.00 13.00:15.00
433,439,419.55,421.05,24.00-8.00-13.00 13.00:10.00
432.1,433.1,418.55,432.95,24.00-8.00-13.00 13.00:5.00
418.55,435.15,417.7,433.6,24.00-8.00-13.00 13.00:0.00
408.75,420,408.75,419.05,24.00-8.00-13.00 12.00:55.00
416,418,403.05,413.8,24.00-8.00-13.00 12.00:50.00
406.95,433.75,406.95,414.9,24.00-8.00-13.00 12.00:45.00
403,410.5,403,410.5,24.00-8.00-13.00 12.00:40.00
401.05,406.9,395,400,24.00-8.00-13.00 12.00:35.00
379.8,411.1,379.2,405.4,24.00-8.00-13.00 12.00:30.00
387.2,387.2,377,377.5,24.00-8.00-13.00 12.00:25.00
375.3,388,374.4,388,24.00-8.00-13.00 12.00:20.00
373.1,385.6,373.1,375.75,24.00-8.00-13.00 12.00:15.00
371.75,373.7,367.4,368.45,24.00-8.00-13.00 12.00:10.00
373.85,391.45,367.4,372.15,24.00-8.00-13.00 12.00:5.00
347.05,374,346,374,24.00-8.00-13.00 12.00:0.00
345.1,348.65,344.85,346,24.00-8.00-13.00 11.00:55.00
351.1,351.1,346.35,346.35,24.00-8.00-13.00 11.00:50.00
356.95,359.1,354.2,354.55,24.00-8.00-13.00 11.00:45.00
